,autore_source,autore_target
326,1322543941,3315201969
327,2415662937,3315201969
328,3047103415,3315201969
329,456453383,3315201969
330,1000993476929040384,3315201969
331,1524453986,3315201969
332,3949076176,3315201969
333,1081136320897007616,3315201969
334,745699605942312960,3315201969
335,1277562849112588291,3315201969
336,476053480,3315201969
337,1138777682248982528,3315201969
338,350184411,3315201969
339,1140075636574343168,3315201969
340,549017081,3315201969
341,2919790132,3315201969
342,222176911,3315201969
343,1240110720429240320,3315201969
344,1055274565,3315201969
345,427673107,3315201969
346,1006510829649518592,3315201969
347,252516769,3315201969
348,1245225642003660800,3315201969
349,224162836,3315201969
350,2982409390,3315201969
351,1250093196832649217,3315201969
352,794554454087532548,3315201969
353,799504971502944257,3315201969
354,716243750,3315201969
355,1428767360,3315201969
356,1338703794,3315201969
357,1136941687241138176,3315201969
358,1247251507789074433,3315201969
359,982973540310880256,3315201969
360,965437881010540544,3315201969
361,254969508,3315201969
362,478424382,3315201969
363,3058567588,3315201969
364,2958925781,3315201969
365,821879334,3315201969
366,4747949368,3315201969
367,358270300,3315201969
368,1370300701,3315201969
369,1205734677312655360,3315201969
370,2941270353,3315201969
371,460611317,3315201969
372,1067796209807630336,3315201969
373,567083810,3315201969
374,2173750477,3315201969
375,1006057344042766336,3315201969
376,1239617807874211848,3315201969
377,1223158823952748544,3315201969
378,2276659249,3315201969
379,1164984096554196995,3315201969
380,3045563626,3315201969
381,85136516,3315201969
382,1242755570920194048,3315201969
383,839559591746801667,3315201969
384,1362144619,3315201969
385,1261605332440285184,3315201969
386,904374802743427072,3315201969
387,2328646053,3315201969
388,1247110449830809601,3315201969
389,946607668541747200,3315201969
390,2920016242,3315201969
391,119418146,3315201969
392,140032760,3315201969
393,2535751839,3315201969
394,1216846151569301504,3315201969
395,1087096068096081925,3315201969
396,1013327078077366272,3315201969
397,1476948512,3315201969
398,906045619,3315201969
399,1111554558,3315201969
400,1225773086,3315201969
401,1626423954,3315201969
402,4309630395,3315201969
403,945202600051462145,3315201969
404,729861715970658308,3315201969
405,626803701,3315201969
406,2954454747,3315201969
407,3305939879,3315201969
408,2323971608,3315201969
409,777845439148224512,3315201969
410,2595566549,3315201969
411,607338233,3315201969
412,401507232,3315201969
413,1144368105227018240,3315201969
414,825458049238368256,3315201969
415,1265052798,3315201969
416,2731701196,3315201969
417,710893536,3315201969
418,2363814434,3315201969
419,2239941328,3315201969
420,1205428460719620096,3315201969
421,1093617255429128192,3315201969
422,1040676078271037447,3315201969
423,1440742050,3315201969
424,1048082142004240385,3315201969
